step,epoch,status,loss,loss_pred,loss_sigreg,z_std,z_mean_abs,lr,nan_rate,recoveries,wallclock_s,val_L_pred,val_L_identity,val_pred_vs_identity_ratio
100,0,ok,0.9178128242492676,0.27510470151901245,7.141201019287109,0.663615882396698,0.035889677703380585,4.99214134820286e-05,0.0,0,401.00762605667114,,,
200,0,ok,0.6816296577453613,0.21304363012313843,5.206511497497559,0.7972628474235535,0.029770880937576294,4.9552628754232465e-05,0.0,0,789.1752309799194,,,
288,0,val_epoch,,,,,,,,,1179.0006289482117,28.988187544287705,0.07576744194437818,382.5942489330482
300,1,ok,0.549373209476471,0.13497567176818848,4.604416847229004,0.8596432209014893,0.03571322560310364,4.888622580638186e-05,0.0,0,1226.4220249652863,,,
400,1,ok,0.43772944808006287,0.0840744599699974,3.929499626159668,0.8842548727989197,0.026694366708397865,4.793028253763633e-05,0.0,0,1607.7321310043335,,,
500,1,ok,0.34720757603645325,0.050070226192474365,3.301525831222534,0.9374147057533264,0.01932474784553051,4.669638655179035e-05,0.0,0,2013.4402570724487,,,
576,1,val_epoch,,,,,,,,,2465.2323698997498,16.2446860411109,0.018757824169971595,866.0218740676839
600,2,ok,0.31691399216651917,0.038259778171777725,3.0961577892303467,0.9552695155143738,0.01652969978749752,4.5199494696467694e-05,0.0,0,2562.809005022049,,,
700,2,ok,0.3165881633758545,0.03129148110747337,3.1699628829956055,0.9645703434944153,0.02226077951490879,4.345775176154215e-05,0.0,0,2979.00155711174,,,
800,2,ok,0.3347088098526001,0.03306276351213455,3.3516228199005127,0.9775657653808594,0.022219829261302948,4.149227053445797e-05,0.0,0,3378.9562728405,,,
864,2,val_epoch,,,,,,,,,3694.2034060955048,24.071864456548923,0.016623952503247958,1448.0229326837768
900,3,ok,0.2903359830379486,0.02403733879327774,2.958873748779297,0.9957882761955261,0.02166108787059784,3.932687587854079e-05,0.0,0,3840.186908006668,,,
1000,3,ok,0.278521329164505,0.028020016849040985,2.7833476066589355,1.0047837495803833,0.021248407661914825,3.698781593649094e-05,0.0,0,4252.0481469631195,,,
1100,3,ok,0.2799939215183258,0.02882235310971737,2.790795087814331,0.9831176400184631,0.021663716062903404,3.450344395974732e-05,0.0,0,4639.646821022034,,,
1152,3,val_epoch,,,,,,,,,4905.689520120621,0.1457038102062737,0.013596595595704346,10.716197976227724
1200,4,ok,0.30827707052230835,0.037684038281440735,3.006588935852051,1.0013693571090698,0.02121167629957199,3.1903874620472796e-05,0.0,0,5091.52773308754,,,
1300,4,ok,0.2573413848876953,0.019880738109350204,2.63845157623291,1.0028032064437866,0.018312804400920868,2.922061897222535e-05,0.0,0,5503.075535058975,,,
1400,4,ok,0.2549164295196533,0.023823117837309837,2.5677032470703125,1.0023335218429565,0.019099298864603043,2.6486202484191032e-05,0.0,0,5887.17947101593,,,
1440,4,val_epoch,,,,,,,,,6100.3698670864105,0.4489928798268481,0.009420565113697836,47.660928448336556
1500,5,ok,0.24899335205554962,0.014958415180444717,2.6003880500793457,1.0071059465408325,0.018536554649472237,2.3733770779032184e-05,0.0,0,6337.086573123932,,,
1600,5,ok,0.24559572339057922,0.020916791632771492,2.4964325428009033,1.0093270540237427,0.017355086281895638,2.0996687853456072e-05,0.0,0,6739.652103900909,,,
1700,5,ok,0.2601698040962219,0.019306102767586708,2.6762633323669434,1.031138300895691,0.01706455834209919,1.830813165173112e-05,0.0,0,7141.080678224564,,,
1728,5,val_epoch,,,,,,,,,7312.882660150528,0.053054111514513086,0.006070264925407927,8.73999935199662
1800,6,ok,0.2535780072212219,0.017773233354091644,2.6200528144836426,1.0147888660430908,0.01904783397912979,1.5700691894464586e-05,0.0,0,7584.79261302948,,,
1900,6,ok,0.25030696392059326,0.015252398326992989,2.6117172241210938,1.0228948593139648,0.01663961261510849,1.320597503761784e-05,0.0,0,7979.3493320941925,,,
2000,6,ok,0.25400811433792114,0.02017359808087349,2.598160982131958,1.0039923191070557,0.01924685202538967,1.0854221150305557e-05,0.0,0,8369.753628015518,,,
2016,6,val_epoch,,,,,,,,,8498.935153007507,0.01781409589573741,0.005515517274871832,3.2298141784265137
2100,7,ok,0.25819942355155945,0.014548122882843018,2.7072365283966064,1.0137535333633423,0.01697414368391037,8.673937355449436e-06,0.0,0,8817.56287908554,,,
2200,7,ok,0.2379952222108841,0.013895494863390923,2.489996910095215,1.0374549627304077,0.019622469320893288,6.6915522765885e-06,0.0,0,9212.978334903717,,,
2300,7,ok,0.24813078343868256,0.013724914751946926,2.6045095920562744,1.0227084159851074,0.016802728176116943,4.931095679518441e-06,0.0,0,9638.80180311203,,,
2304,7,val_epoch,,,,,,,,,9719.391162157059,0.015639461685517213,0.004915964193301411,3.1813620015434303
2400,8,ok,0.25096559524536133,0.014883849769830704,2.6231303215026855,1.0095924139022827,0.01656346023082733,3.413907192030155e-06,0.0,0,10135.544991970062,,,
2500,8,ok,0.2393822968006134,0.013963881880044937,2.5046489238739014,1.0087522268295288,0.020165057852864265,2.158377632542857e-06,0.0,0,10516.776365995407,,,
2592,8,val_epoch,,,,,,,,,10950.906315088272,0.01318586370794148,0.0048011453356593846,2.7463996163595716
2600,9,ok,0.2567664682865143,0.017311232164502144,2.660613536834717,1.0279144048690796,0.016000820323824883,1.1797260831540535e-06,0.0,0,10989.742045879364,,,
2700,9,ok,0.24544353783130646,0.015493801794946194,2.554996967315674,1.0170159339904785,0.01590540260076523,4.898154093474355e-07,0.0,0,11410.38940501213,,,
2800,9,ok,0.2636488676071167,0.014570679515600204,2.7675352096557617,1.0358084440231323,0.018615758046507835,9.700846256308626e-08,0.0,0,11801.177969932556,,,
2880,9,val_epoch,,,,,,,,,12187.541579961777,0.013210451259027894,0.004840021908351379,2.729419723541638
