step,epoch,status,loss,loss_pred,loss_sigreg,z_std,z_mean_abs,lr,nan_rate,recoveries,wallclock_s
50,0,ok,1.077104926109314,0.4722836911678314,6.720235824584961,0.82082599401474,0.01769460178911686,4.981772185245135e-05,0.0,0,139.35952305793762
100,0,ok,0.8749174475669861,0.40679460763931274,5.201364517211914,0.8745565414428711,0.01684468798339367,4.9081770026187914e-05,0.0,0,276.62408113479614
150,1,ok,0.7040550708770752,0.2976897060871124,4.515170097351074,0.9034972786903381,0.007672818377614021,4.7797496149802256e-05,0.0,0,413.1459310054779
200,1,ok,0.624542236328125,0.22071640193462372,4.486953258514404,0.9188593029975891,0.007694618310779333,4.599414208068495e-05,0.0,0,547.2577497959137
250,2,ok,0.5350245833396912,0.15873411297798157,4.181005001068115,0.9332833290100098,0.015751222148537636,4.371276870427753e-05,0.0,0,699.3197391033173
300,2,ok,0.4654249846935272,0.10509487241506577,4.003667831420898,0.9491451382637024,0.022616202011704445,4.1005321011562206e-05,0.0,0,831.1504271030426
350,3,ok,0.4199063181877136,0.07901440560817719,3.7876880168914795,0.9770205616950989,0.0324239619076252,3.793344535444142e-05,0.0,0,966.5691068172455
400,3,ok,0.391379714012146,0.06686674803495407,3.6056995391845703,0.9871336817741394,0.03859848901629448,3.456708580912725e-05,0.0,0,1112.1402878761292
450,4,ok,0.359554648399353,0.047446057200431824,3.4678728580474854,0.9896818995475769,0.03890422731637955,3.098289160718895e-05,0.0,0,1253.8200590610504
500,4,ok,0.326931893825531,0.03614877164363861,3.2309234142303467,0.9986057281494141,0.034125447273254395,2.726247189574095e-05,0.0,0,1402.1647689342499
550,5,ok,0.32243454456329346,0.03231962025165558,3.223499298095703,0.9946918487548828,0.03011923097074032,2.3490537564442847e-05,0.0,0,1543.3887977600098
600,5,ok,0.32310327887535095,0.024437427520751953,3.318509340286255,0.994504988193512,0.026445047929883003,1.9752972448378814e-05,0.0,0,1676.2276380062103
650,6,ok,0.3064737319946289,0.02150844968855381,3.166280746459961,1.017667293548584,0.023922758176922798,1.613487782393661e-05,0.0,0,1808.0484988689423
700,6,ok,0.32217180728912354,0.024293366819620132,3.309760332107544,1.0009194612503052,0.019161200150847435,1.271863472290307e-05,0.0,0,1935.6597590446472
750,7,ok,0.3006818890571594,0.03117424249649048,2.9945292472839355,1.006362795829773,0.01349541638046503,9.582028184286423e-06,0.0,0,2059.595142841339
800,7,ok,0.2957014739513397,0.020940478891134262,3.0528998374938965,1.0038471221923828,0.012690139003098011,6.796476153105294e-06,0.0,0,2197.2926409244537
850,8,ok,0.29459863901138306,0.028078563511371613,2.961333990097046,1.0100377798080444,0.012315016239881516,4.425403352658591e-06,0.0,0,2344.999741792679
900,8,ok,0.2880769371986389,0.027241313830018044,2.8981733322143555,1.0189528465270996,0.010310748592019081,2.5227971558643537e-06,0.0,0,2485.2092158794403
950,9,ok,0.3080301582813263,0.020937971770763397,3.189913034439087,1.0102490186691284,0.009564194828271866,1.1319783372863602e-06,0.0,0,2634.2384848594666
1000,9,ok,0.300140917301178,0.021672429516911507,3.0940942764282227,0.9998623728752136,0.010206490755081177,2.846146948116468e-07,0.0,0,2771.216050863266
1050,9,ok,0.3006807565689087,0.01981431432068348,3.1207380294799805,1.0090653896331787,0.010645143687725067,0.0,0.0,0,2905.768486022949
